area_type,availability,location,size,society,total_sqft,bath,balcony,price,location_numerical,,Number of Bedrooms
Super built-up  Area,19-Dec,Electronic City Phase II,2,Coomee ,1056,2,1,390700,419,,
Plot  Area,Ready To Move,Chikka Tirupathi,4,Theanmp,2600,5,3,1200000,317,,
Built-up  Area,Ready To Move,Uttarahalli,3,,1440,2,3,620000,1179,,
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1521,3,1,950000,757,,
Super built-up  Area,Ready To Move,Kothanur,2,,1200,2,1,510000,716,,
Super built-up  Area,Ready To Move,Whitefield,2,DuenaTa,1170,2,1,380000,1252,,
Super built-up  Area,18-May,Old Airport Road,4,Jaades ,2732,4,,2040000,895,,
Super built-up  Area,Ready To Move,Rajaji Nagar,4,Brway G,3300,4,,6000000,976,,
Super built-up  Area,Ready To Move,Marathahalli,3,,1310,3,1,632500,799,,
Plot  Area,Ready To Move,Gandhi Bazar,6,,1020,6,,3700000,434,,
Super built-up  Area,18-Feb,Whitefield,3,,1800,2,2,700000,1252,,
Plot  Area,Ready To Move,Whitefield,4,Prrry M,2785,5,3,2950000,1252,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Shncyes,1000,2,1,380000,72,,
Built-up  Area,Ready To Move,Gottigere,2,,1100,2,2,400000,466,,
Plot  Area,Ready To Move,Sarjapur,3,Skityer,2250,3,2,1480000,1038,,
Super built-up  Area,Ready To Move,Mysore Road,2,PrntaEn,1175,2,2,735000,837,,
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1180,3,2,480000,268,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1540,3,3,600000,972,,
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3,PeBayle,2770,4,2,2900000,988,,
Super built-up  Area,Ready To Move,Manayata Tech Pa,2,,1100,2,2,480000,788,,
Built-up  Area,Ready To Move,Kengeri,1,,600,1,1,150000,688,,
Super built-up  Area,19-Dec,Binny Pete,3,She 2,1755,3,1,1220000,267,,
Plot  Area,Ready To Move,Thanisandra,4,Soitya ,2800,5,2,3800000,1148,,
Super built-up  Area,Ready To Move,Bellandur,3,,1767,3,1,1030000,236,,
Super built-up  Area,18-Nov, Thanisandra,1,Bhe 2ko,510,1,0,252500,10,,
Super built-up  Area,18-May,Mangammanapalya,3,,1250,3,2,560000,789,,
Super built-up  Area,Ready To Move,Electronic City,2,Itelaa ,660,1,1,231000,417,,
Built-up  Area,20-Dec,Whitefield,3,,1610,3,2,810000,1252,,
Super built-up  Area,17-Oct,Ramagondanahalli,2,ViistLa,1151,2,2,487700,987,,
Super built-up  Area,Ready To Move,Electronic City,3,KBityo ,1025,2,1,470000,417,,
Super built-up  Area,19-Dec,Yelahanka,4,LedorSa,2100 - 2850,4,0,1860000,1261,,
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,350000,268,,
Super built-up  Area,Ready To Move,Hebbal,3,Mahosya,1760,2,2,1230000,513,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1693,3,3,573900,972,,
Built-up  Area,Ready To Move,Kasturi Nagar,3,Kantsce,1925,3,,1250000,673,,
Super built-up  Area,21-Dec,Kanakpura Road,2,PrarePa,700,2,1,360000,664,,
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,,1070,2,1,455000,422,,
Super built-up  Area,Ready To Move,Kundalahalli,3,Dieldli,1724,3,2,1250000,731,,
Super built-up  Area,Ready To Move,Chikkalasandra,3,,1290,2,2,561200,326,,
Built-up  Area,Ready To Move,Uttarahalli,2,,1143,2,2,450000,1179,,
Built-up  Area,Ready To Move,Murugeshpalya,2,Gentson,1296,2,,810000,833,,
Super built-up  Area,19-Dec,Sarjapur  Road,3,Soini T,1254,3,2,380000,1039,,
Super built-up  Area,Ready To Move,Ganga Nagar,1,Ceove G,600,1,0,380000,437,,
Plot  Area,Ready To Move,Yelahanka,1,,660,1,0,480000,1261,,
Super built-up  Area,19-Sep,Kanakpura Road,2,Soazak ,1330.74,2,2,917900,664,,
Plot  Area,Ready To Move,HSR Layout,8,,600,9,,2000000,494,,
Super built-up  Area,Ready To Move,Doddathoguru,2,LancyRe,970,2,0,330000,396,,
Super built-up  Area,20-Sep,Whitefield,2,Goted U,1459,2,1,948200,1252,,
Plot  Area,Ready To Move,KR Puram,2,,800,1,1,1300000,626,,
Built-up  Area,Ready To Move,Himagiri Meadows,2,,869,2,1,360000,526,,
Super built-up  Area,Ready To Move,Adarsh Nagar,2,Bhncyis,1270,2,1,500000,89,,
Super built-up  Area,18-Mar,Bhoganhalli,3,Rosha I,1670,3,1,990000,252,,
Built-up  Area,Ready To Move,Whitefield,3,Suent V,2010,3,2,910000,1252,,
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,RothaVa,1185,2,2,750000,745,,
Super built-up  Area,Ready To Move,Yelahanka,3,NCowsar,1600,2,3,750000,1261,,
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,440000,232,,
Built-up  Area,20-Feb,Devanahalli,4,BrereAt,3010 - 3410,,,1920000,365,,
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2,PeBayle,1500,2,2,1850000,988,,
Plot  Area,Ready To Move,Murugeshpalya,6,,1407,4,1,1500000,833,,
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2,,840,2,2,450000,468,,
